date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:49	27445/27445	---MCZ	200	added ('OK')	text/html	etag:W/%22ca6222a6f5a315174a019f70dbf83806%22	https://www.dibiz.com/en/how	C:/My%20Web%20Sites/home/www.dibiz.com/en/how.html	(from https://www.dibiz.com/en)
09:32:50	42771/42771	---MCZ	200	added ('OK')	text/html	etag:W/%221216361e531996482d85438ffa8d07b4%22	https://www.dibiz.com/de	C:/My%20Web%20Sites/home/www.dibiz.com/de.html	(from https://www.dibiz.com/en)
09:32:53	42811/42811	---MCZ	200	added ('OK')	text/html	etag:W/%2270832b4a7464aba0f8193e1409f58c92%22	https://www.dibiz.com/es	C:/My%20Web%20Sites/home/www.dibiz.com/es.html	(from https://www.dibiz.com/en)
09:32:55	42971/42971	---MCZ	200	added ('OK')	text/html	etag:W/%2275f07feaec0f85fab6bac7641208df4f%22	https://www.dibiz.com/fr	C:/My%20Web%20Sites/home/www.dibiz.com/fr.html	(from https://www.dibiz.com/en)
09:32:56	42460/42460	---MCZ	200	added ('OK')	text/html	etag:W/%22de13feb74e1fb11e8ee7b4fee529db18%22	https://www.dibiz.com/zh	C:/My%20Web%20Sites/home/www.dibiz.com/zh.html	(from https://www.dibiz.com/en)
09:32:57	44932/44932	---MCZ	200	added ('OK')	text/html	etag:W/%2206933c5b0377c9f3717278068c07c53b%22	https://www.dibiz.com/ru	C:/My%20Web%20Sites/home/www.dibiz.com/ru.html	(from https://www.dibiz.com/en)
09:32:59	43908/43908	---MCZ	200	added ('OK')	text/html	etag:W/%22ff5a2153ed2e4e623503f8fb8b3b0cab%22	https://www.dibiz.com/ar	C:/My%20Web%20Sites/home/www.dibiz.com/ar.html	(from https://www.dibiz.com/en)
09:33:00	49690/49690	---MCZ	200	added ('OK')	text/html	etag:W/%2259852bdd4bfbe01d737115b57147d461%22	https://www.dibiz.com/he	C:/My%20Web%20Sites/home/www.dibiz.com/he.html	(from https://www.dibiz.com/en)
09:33:01	5135/5135	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2005:40:53%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/logos/REMAX.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/logos/REMAX.png	(from https://www.dibiz.com/en)
09:33:01	313072/313072	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2013:59:02%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/slide-faces.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/slide-faces.jpg	(from https://www.dibiz.com/en)
09:33:01	2230/2230	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2012:44:45%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/logos/TD_Bank.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/logos/TD_Bank.png	(from https://www.dibiz.com/en)
09:33:01	3012/3012	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2005:40:53%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/logos/Toyota.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/logos/Toyota.png	(from https://www.dibiz.com/en)
09:33:01	8232/8232	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2005:40:53%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/logos/lancome.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/logos/lancome.png	(from https://www.dibiz.com/en)
09:33:02	39609/39609	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2005:40:57%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/logos/ford.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/logos/ford.png	(from https://www.dibiz.com/en)
09:33:02	2898/2898	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2018:18:16%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/logos/Jeep.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/logos/Jeep.png	(from https://www.dibiz.com/en)
09:33:02	43953/43953	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2005:41:00%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/feature1.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/feature1.jpg	(from https://www.dibiz.com/en)
09:33:02	47432/47432	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2027%20Feb%202021%2002:26:31%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/feature2.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/feature2.jpg	(from https://www.dibiz.com/en)
09:33:02	46739/46739	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2026%20Feb%202021%2015:22:00%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/feature3.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/feature3.jpg	(from https://www.dibiz.com/en)
09:33:03	4495/4495	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2018:18:16%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/how-it-works/img_sec1.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/how-it-works/img_sec1.png	(from https://www.dibiz.com/en)
09:33:03	4443/4443	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2012:44:45%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/how-it-works/img_sec2.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/how-it-works/img_sec2.png	(from https://www.dibiz.com/en)
09:33:03	7233/7233	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2005:17:39%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/how-it-works/img_sec3.png	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/how-it-works/img_sec3.png	(from https://www.dibiz.com/en)
09:33:03	24628/24628	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2005:40:59%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/examples/orelia-example.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/examples/orelia-example.jpg	(from https://www.dibiz.com/en)
09:33:03	25538/25538	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2005:40:58%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/examples/michael-chef.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/examples/michael-chef.jpg	(from https://www.dibiz.com/en)
09:33:04	24098/24098	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2026%20Feb%202021%2015:21:21%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/examples/sven-example.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/examples/sven-example.jpg	(from https://www.dibiz.com/en)
09:33:04	25598/25598	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2027%20Feb%202021%2002:29:30%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/examples/douglas.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/examples/douglas.jpg	(from https://www.dibiz.com/en)
09:33:04	29501/29501	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2027%20Feb%202021%2002:26:31%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/examples/jennifer-example2.jpg	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/examples/jennifer-example2.jpg	(from https://www.dibiz.com/en)
